Image,Object ID,Object type,Name,Classification,Parent,ROI,Centroid X µm,Centroid Y µm,Area µm^2,Perimeter µm
MDB0000537-2653-3y-Exsub-s19.tif,b41d04a4-4876-4fae-be0f-8092de275eb4,Annotation,,,Root object (Image),Geometry,6370404.6,4484497,57461761641704.5,218445372
MDB0000537-2653-3y-Exsub-s19.tif,572281e9-9ba0-46fb-8dad-2e6c1ef91e29,Annotation,,Background,Annotation,Geometry,2839353.1,2375464.5,341021157.4,169181.3
MDB0000537-2653-3y-Exsub-s19.tif,fa178f7a-c2c8-4df5-bb32-142bf432af8b,Annotation,,Atretic Antral (granulosa in antrum),Annotation,Geometry,6241118.4,4222496.1,5172856953201.5,1706502169.1
MDB0000537-2653-3y-Exsub-s19.tif,0536fb74-fb01-4896-b901-d425fa29fb24,Annotation,,Stroma,Annotation,Geometry,6400433.4,4457364.8,48032576379754.8,2037160511.4
MDB0000537-2653-3y-Exsub-s19.tif,032f9b9b-99c8-4a95-af5b-99631c6000dd,Annotation,,Multilayer,Annotation,Geometry,6561853.4,4589762.2,714978099629.4,309602421.8
MDB0000537-2653-3y-Exsub-s19.tif,11d36576-1e8d-4417-855f-d1b43cbe17d4,Annotation,,Primordial,Annotation,Geometry,6458542.6,4610459.7,175051714534.4,91568488.2
MDB0000537-2653-3y-Exsub-s19.tif,70bc9c55-6623-4a6f-b5d9-a875fe99d501,Annotation,,Antral (clear antrum),Annotation,Geometry,6095714.1,5245608.2,3365956022638.6,598419639.4
MDB0000537-2653-3y-Exsub-s19.tif,4952fcf1-296e-4ca2-865f-d5b515c5ca35,Annotation,,Background,Root object (Image),Geometry,5260703.5,697995.5,2644245178786.7,8645284
MDB0000537-2653-3y-Exsub-s19.tif,9b1cf3f0-47fa-4ed8-9487-16d8c323befd,Annotation,,Background,Annotation (Background),Geometry,5260703.5,697995.5,2644245178786.7,8645284
MDB0000537-2653-3y-Exsub-s19.tif,6162eaa1-e17c-424d-ba6e-6a3af5406b97,Annotation,,Background,Root object (Image),Polygon,11702399.6,770446.3,3341364737062.9,7286015.5
MDB0000537-2653-3y-Exsub-s19.tif,a559f08d-c5c6-4690-bce2-41dd9d31a5a1,Annotation,,Background,Annotation (Background),Polygon,11702399.6,770446.3,3341364737062.9,7286015.5
MDB0000537-2653-3y-Exsub-s19.tif,431a4892-e1b1-44fc-81cc-4cefd9b90555,Annotation,,Background,Root object (Image),Polygon,11956104.7,6622879.1,6539778248729,10686885.2
MDB0000537-2653-3y-Exsub-s19.tif,4d1ef519-3494-4d29-9b19-e0d2fe84e3ec,Annotation,,Background,Annotation (Background),Polygon,11955572.7,6621979.3,6535083228748.3,10682124.6
MDB0000537-2653-3y-Exsub-s19.tif,bda10fa6-c922-4986-9ac6-5ffd0663d071,Annotation,,Multilayer,Root object (Image),Geometry,6805855.7,1414434.3,75674278295,2959832.5
MDB0000537-2653-3y-Exsub-s19.tif,6eeb6750-0995-4202-9f5c-b2fd12f60ecc,Annotation,,Primordial,Annotation (Multilayer),Geometry,6688063.1,1322613.2,390281975.3,304800
MDB0000537-2653-3y-Exsub-s19.tif,311f2fa6-6804-4961-a9c3-05ae9cb7d9fb,Annotation,,Multilayer,Annotation (Multilayer),Geometry,6805665.6,1397617.4,14252544270,5487881.3
MDB0000537-2653-3y-Exsub-s19.tif,01409bca-93b9-4c3a-8e06-fec14e1e2850,Annotation,,Antral (clear antrum),Annotation (Multilayer),Geometry,6766828.3,1409202.6,18145959446.3,4198388.7
MDB0000537-2653-3y-Exsub-s19.tif,a8336eb0-63f1-4ec9-8de4-3d0ae6b05e03,Annotation,,Stroma,Annotation (Multilayer),Geometry,6826070.2,1420936,38759076769.2,7828619.4
MDB0000537-2653-3y-Exsub-s19.tif,8dfa459d-a5ed-49fe-83e4-1a0ca24d3deb,Annotation,,Atretic Antral (granulosa in antrum),Annotation (Multilayer),Geometry,6799414.1,1443178.6,4126419206.6,2962133.9
MDB0000537-2653-3y-Exsub-s19.tif,e6b3cb81-050b-4f53-ac44-101617fe9f2b,Annotation,,Multilayer,Root object (Image),Geometry,10243982.5,1701563.7,63131653682.4,2715183
MDB0000537-2653-3y-Exsub-s19.tif,e517ed79-c1f6-4f98-82ad-76b980e21ba2,Annotation,,Stroma,Annotation (Multilayer),Geometry,10246374.1,1692670.2,32404047731.8,7820071.5
MDB0000537-2653-3y-Exsub-s19.tif,64ae96f6-b56d-4886-93a2-503753e27f6e,Annotation,,Antral (clear antrum),Annotation (Multilayer),Geometry,10238994,1709656.4,7894918374.8,2998066.4
MDB0000537-2653-3y-Exsub-s19.tif,7f7750a7-13cf-43a5-a0f1-701c8f42e3a9,Annotation,,Multilayer,Annotation (Multilayer),Geometry,10242472.1,1710721.8,14433396269.7,3997965.5
MDB0000537-2653-3y-Exsub-s19.tif,304b695b-c559-428c-a6d7-76857053120f,Annotation,,Atretic Antral (granulosa in antrum),Annotation (Multilayer),Geometry,10242049.1,1712496.2,8391326990.7,4782403
